timestamp(ms),GPA[0].HAcc,GPS[0].NSats
175483.34600000002,0.59,20
175583.34600000002,0.59,20
175683.34600000002,0.59,20
175783.34600000002,0.59,20
175883.34600000002,0.59,19
175983.34600000002,0.59,19
176083.34600000002,0.59,18
176183.34600000002,0.59,18
176283.34600000002,0.59,18
176383.34600000002,0.59,18
176483.34600000002,0.59,19
176583.34600000002,0.59,19
176683.34600000002,0.59,20
176783.34600000002,0.59,20
176883.34600000002,0.59,20
176983.34600000002,0.59,20
177083.34600000002,0.59,20
177183.34600000002,0.59,20
177283.34600000002,0.59,19
177383.34600000002,0.59,19
177483.34600000002,0.59,20
177583.34600000002,0.59,20
177683.34600000002,0.59,20
177783.34600000002,0.59,20
177883.34600000002,0.59,20
177983.34600000002,0.59,20
178083.34600000002,0.59,19
178183.34600000002,0.59,19
178283.34600000002,0.59,20
178383.34600000002,0.59,20
178483.34600000002,0.59,20
178583.34600000002,0.59,20
178683.34600000002,0.59,19
178783.34600000002,0.59,19
178883.34600000002,0.59,20
178983.34600000002,0.59,20
179083.34600000002,0.59,20
179183.34600000002,0.59,20
179283.34600000002,0.59,20
179383.34600000002,0.59,20
179483.34600000002,0.59,19
179583.34600000002,0.59,19
179683.34600000002,0.59,20
179783.34600000002,0.59,20
179883.34600000002,0.58,20
179983.34600000002,0.58,20
180083.34600000002,0.58,20
180183.34600000002,0.58,20
180283.34600000002,0.58,20
180383.34600000002,0.58,20
180483.34600000002,0.58,20
180583.34600000002,0.58,20
180683.34600000002,0.58,20
180783.34600000002,0.58,20
180883.34600000002,0.58,21
180983.34600000002,0.58,21
181083.34600000002,0.58,20
181183.34600000002,0.58,20
181283.34600000002,0.58,20
181383.34600000002,0.58,20
181483.34600000002,0.58,21
181583.34600000002,0.58,21
181683.34600000002,0.58,21
181783.34600000002,0.58,21
181883.34600000002,0.58,21
181983.34600000002,0.58,21
182083.34600000002,0.58,21
182183.34600000002,0.58,21
182283.34600000002,0.58,21
182383.34600000002,0.58,21
182483.34600000002,0.58,21
182583.34600000002,0.58,21
182683.34600000002,0.58,21
182783.34600000002,0.58,21
182883.34600000002,0.58,21
182983.34600000002,0.58,21
183083.34600000002,0.58,20
183183.34600000002,0.58,20
183283.34600000002,0.58,21
183383.34600000002,0.58,21
183483.34600000002,0.58,21
183583.34600000002,0.58,21
183683.34600000002,0.58,20
183783.34600000002,0.58,20
183883.34600000002,0.58,21
183983.34600000002,0.58,21
184083.34600000002,0.58,21
184183.34600000002,0.58,21
184283.34600000002,0.58,20
184383.34600000002,0.58,20
184483.34600000002,0.58,21
184583.34600000002,0.58,21
184683.34600000002,0.58,20
184783.34600000002,0.58,20
184883.34600000002,0.58,21
184983.34600000002,0.58,21
185083.34600000002,0.58,21
185183.34600000002,0.58,21
185283.34600000002,0.58,21
185383.34600000002,0.58,21
185483.34600000002,0.58,21
185583.34600000002,0.58,21
185683.34600000002,0.58,20
185783.34600000002,0.58,20
185883.34600000002,0.58,20
185983.34600000002,0.58,20
186083.34600000002,0.58,20
186183.34600000002,0.58,20
186283.34600000002,0.58,22
186383.34600000002,0.58,22
186483.34600000002,0.58,22
186583.34600000002,0.58,22
186683.34600000002,0.58,22
186783.34600000002,0.58,22
186883.34600000002,0.58,22
186983.34600000002,0.58,22
187083.34600000002,0.58,21
187183.34600000002,0.58,21
187283.34600000002,0.58,20
187383.34600000002,0.58,20
187483.34600000002,0.58,21
187583.34600000002,0.58,21
187683.34600000002,0.58,20
187783.34600000002,0.58,20
187883.34600000002,0.58,20
187983.34600000002,0.58,20
188083.34600000002,0.58,22
188183.34600000002,0.58,22
188283.34600000002,0.58,21
188383.34600000002,0.58,21
188483.34600000002,0.58,21
188583.34600000002,0.58,21
188683.34600000002,0.58,20
188783.34600000002,0.58,20
188883.34600000002,0.58,19
188983.34600000002,0.58,19
189083.34600000002,0.58,19
189183.34600000002,0.58,19
189283.34600000002,0.58,19
189383.34600000002,0.58,19
189483.34600000002,0.58,20
189583.34600000002,0.58,20
189683.34600000002,0.58,20
189783.34600000002,0.58,20
189883.34600000002,0.58,19
189983.34600000002,0.58,19
190083.34600000002,0.58,20
190183.34600000002,0.58,20
190283.34600000002,0.58,19
190383.34600000002,0.58,19
190483.34600000002,0.58,21
190583.34600000002,0.58,21
190683.34600000002,0.58,20
190783.34600000002,0.58,20
190883.34600000002,0.57,20
190983.34600000002,0.57,20
191083.34600000002,0.57,19
191183.34600000002,0.57,19
191283.34600000002,0.57,20
191383.34600000002,0.57,20
191483.34600000002,0.57,20
191583.34600000002,0.57,20
191683.34600000002,0.57,20
191783.34600000002,0.57,20
191883.34600000002,0.57,20
191983.34600000002,0.57,20
192083.34600000002,0.58,21
192183.34600000002,0.58,21
192283.34600000002,0.58,20
192383.34600000002,0.58,20
192483.34600000002,0.58,20
192583.34600000002,0.58,20
192683.34600000002,0.58,21
192783.34600000002,0.58,21
192883.34600000002,0.58,19
192983.34600000002,0.58,19
193083.34600000002,0.58,20
193183.34600000002,0.58,20
193283.34600000002,0.58,21
193383.34600000002,0.58,21
193483.34600000002,0.58,21
193583.34600000002,0.58,21
193683.34600000002,0.58,20
193783.34600000002,0.58,20
193883.34600000002,0.58,20
193983.34600000002,0.58,20
194083.34600000002,0.58,21
194183.34600000002,0.58,21
194283.34600000002,0.58,20
194383.34600000002,0.58,20
194483.34600000002,0.58,20
194583.34600000002,0.58,20
194683.34600000002,0.58,20
194783.34600000002,0.58,20
194883.34600000002,0.58,20
194983.34600000002,0.58,20
195083.34600000002,0.58,21
195183.34600000002,0.58,21
195283.34600000002,0.58,20
195383.34600000002,0.58,20
195483.34600000002,0.59,21
195583.34600000002,0.59,21
195683.34600000002,0.59,20
195783.34600000002,0.59,20
195883.34600000002,0.59,22
195983.34600000002,0.59,22
196083.34600000002,0.59,20
196183.34600000002,0.59,20
196283.34600000002,0.59,21
196383.34600000002,0.59,21
196483.34600000002,0.59,20
196583.34600000002,0.59,20
196683.34600000002,0.59,21
196783.34600000002,0.59,21
196883.34600000002,0.59,20
196983.34600000002,0.59,20
197083.34600000002,0.59,21
197183.34600000002,0.59,21
197283.34600000002,0.59,21
197383.34600000002,0.59,21
197483.34600000002,0.59,21
197583.34600000002,0.59,21
197683.34600000002,0.59,21
197783.34600000002,0.59,21
197883.34600000002,0.59,21
197983.34600000002,0.59,21
198083.34600000002,0.59,21
198183.34600000002,0.59,21
198283.34600000002,0.59,21
198383.34600000002,0.59,21
198483.34600000002,0.59,20
198583.34600000002,0.59,20
198683.34600000002,0.59,21
198783.34600000002,0.59,21
198883.34600000002,0.59,21
198983.34600000002,0.59,21
199083.34600000002,0.59,20
199183.34600000002,0.59,20
199283.34600000002,0.59,22
199383.34600000002,0.59,22
199483.34600000002,0.59,22
199583.34600000002,0.59,22
199683.34600000002,0.58,22
199783.34600000002,0.58,22
199883.34600000002,0.58,22
199983.34600000002,0.58,22
200083.34600000002,0.58,22
200183.34600000002,0.58,22
200283.34600000002,0.58,21
200383.34600000002,0.58,21
200483.34600000002,0.58,21
200583.34600000002,0.58,21
200683.34600000002,0.58,22
200783.34600000002,0.58,22
200883.34600000002,0.58,22
200983.34600000002,0.58,22
201083.34600000002,0.58,22
201183.34600000002,0.58,22
201283.34600000002,0.58,22
201383.34600000002,0.58,22
201483.34600000002,0.58,21
201583.34600000002,0.58,21
201683.34600000002,0.58,20
201783.34600000002,0.58,20
201883.34600000002,0.58,21
201983.34600000002,0.58,21
202083.34600000002,0.58,20
202183.34600000002,0.58,20
202283.34600000002,0.58,20
202383.34600000002,0.58,20
202483.34600000002,0.58,21
202583.34600000002,0.58,21
202683.34600000002,0.58,21
202783.34600000002,0.58,21
202883.34600000002,0.58,20
