timestamp(ms),RFND[0].Dist
1132878.2008873927,1.08
1132978.2008873927,0.98
1133078.2008873927,1.13
1133178.2008873927,1.06
1133278.2008873927,1.11
1133378.2008873927,1.05
1133478.2008873927,1.1
1133578.2008873927,1.05
1133678.2008873927,1.11
1133778.2008873927,1.15
1133878.2008873927,1.13
1133978.2008873927,1.12
1134078.2008873927,1.14
1134178.2008873927,1.09
1134278.2008873927,1.13
1134378.2008873927,1.1
1134478.2008873927,1.2
1134578.2008873927,1.09
1134678.2008873927,1.06
1134778.2008873927,1.13
1134878.2008873927,1.09
1134978.2008873927,1.17
1135078.2008873927,1.2
1135178.2008873927,1.15
1135278.2008873927,1.12
1135378.2008873927,1.19
1135478.2008873927,1.21
1135578.2008873927,1.13
1135678.2008873927,1.22
1135778.2008873927,1.31
1135878.2008873927,1.24
1135978.2008873927,1.33
1136078.2008873927,1.19
1136178.2008873927,1.34
1136278.2008873927,1.29
1136378.2008873927,1.32
1136478.2008873927,1.38
1136578.2008873927,1.23
1136678.2008873927,1.24
1136778.2008873927,1.73
1136878.2008873927,1.25
1136978.2008873927,1.25
1137078.2008873927,1.25
1137178.2008873927,1.28
1137278.2008873927,1.35
1137378.2008873927,1.29
1137478.2008873927,1.39
1137578.2008873927,1.27
1137678.2008873927,1.24
1137778.2008873927,1.27
1137878.2008873927,1.3
1137978.2008873927,1.38
1138078.2008873927,1.41
1138178.2008873927,1.32
1138278.2008873927,1.69
1138378.2008873927,1.33
1138478.2008873927,1.42
1138578.2008873927,1.33
1138678.2008873927,1.37
1138778.2008873927,1.35
1138878.2008873927,1.4
1138978.2008873927,1.45
1139078.2008873927,1.45
1139178.2008873927,1.59
1139278.2008873927,1.41
1139378.2008873927,1.55
1139478.2008873927,1.48
1139578.2008873927,1.47
1139678.2008873927,1.4
1139778.2008873927,1.5
1139878.2008873927,1.41
1139978.2008873927,1.52
1140078.2008873927,1.45
1140178.2008873927,1.6
1140278.2008873927,1.46
1140378.2008873927,1.59
1140478.2008873927,1.59
1140578.2008873927,1.44
1140678.2008873927,1.53
1140778.2008873927,1.53
1140878.2008873927,1.45
1140978.2008873927,1.51
1141078.2008873927,1.46
1141178.2008873927,1.46
1141278.2008873927,1.46
1141378.2008873927,1.53
1141478.2008873927,1.48
1141578.2008873927,1.53
1141678.2008873927,1.47
1141778.2008873927,1.53
1141878.2008873927,1.55
1141978.2008873927,1.48
1142078.2008873927,1.51
1142178.2008873927,1.49
1142278.2008873927,1.43
1142378.2008873927,1.46
1142478.2008873927,1.46
1142578.2008873927,1.41
1142678.2008873927,1.47
1142778.2008873927,1.46
1142878.2008873927,1.46
1142978.2008873927,1.43
1143078.2008873927,1.48
1143178.2008873927,1.5
1143278.2008873927,1.47
1143378.2008873927,1.46
1143478.2008873927,1.47
1143578.2008873927,1.41
1143678.2008873927,1.6
1143778.2008873927,1.49
1143878.2008873927,1.5
1143978.2008873927,1.52
